,Bcl11b_class,Cadps2_class,Calb1_class,Calb2_class,Cck_class,Cdh13_class,Chodl_class,Chrm2_class,Cnr1_class,Col25a1_class,Cort_class,Cox6a2_class,Cplx2_class,Cpne5_class,Crh_class,Crhbp_class,Cryab_class,Cxcl14_class,Enpp2_class,Gabrd_class,Gad1_class,Gda_class,Grin3a_class,Hapln1_class,Htr3a_class,Id2_class,Kcnk2_class,Kctd12_class,Kit_class,Lamp5_class,Lhx6_class,Ndnf_class,Neurod6_class,Nos1_class,Nov_class,Npy2r_class,Nr4a2_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plcxd2_class,Plp1_class,Pnoc_class,Prkca_class,Pthlh_class,Pvalb_class,Rab3c_class,Rasgrf2_class,Reln_class,Rgs10_class,Rgs12_class,Rgs4_class,Satb1_class,Sema3c_class,Serpini1_class,Slc17a8_class,Snca_class,Sncg_class,Sst_class,Synpr_class,Tac1_class,Tac2_class,Th_class,Thsd7a_class,Trp53i11_class,Vip_class,Wfs1_class,Yjefn3_class,Zero
Htr3a,0.0,0.2289254946683156,0.0,4.632223427566617,0.0,0.9451900590389595,0.0,0.0,0.00019500296156858173,0.0,0.0,0.0,0.2427457002136783,0.0,0.0,0.0,0.7305686396990042,0.00014499891323119647,0.0,0.0,0.45654151397164777,0.0,0.0,0.0,15.0,0.1151546092000256,0.0,0.0,0.0,0.0,0.6328068791009673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1064040565859456,0.8118973860904038,0.20820906957559357,0.0,0.0392208348652908,0.00041635892965241183,0.0,0.0,0.7523580877796375,0.0,0.0,0.001980056458067979,0.0,0.0,0.0025076759705129916,0.12332535377339748,0.0,0.0,0.0,0.06591273234602738,1.655345312535173,1.6089627314635897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id2,0.0,0.5000322910792826,0.0,0.2657473678704444,0.0,0.11255788272528867,0.0,0.0,0.54505547347944,0.0,0.0,0.0,0.47324828963761684,0.0,0.0,0.0,0.2269081213490195,2.335985406507309,0.0,0.0,0.5367138726170497,0.0,0.0,0.0,0.0,47.509296677888344,0.0,0.0,0.0,0.0,0.48714309988474924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835603858606402,0.725389105748544,0.08926264973298349,0.0,1.3933007514555762,0.13721571221905715,0.0,0.0,0.5232777659440602,0.0,0.0,0.7179596041866463,0.0,0.0,0.7753019329991481,0.8153308039061238,0.0,0.0,0.0,0.8934556629665237,0.635276960881689,0.8631605850939209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnk2,0.0,0.4000390791883484,0.0,0.3382780180661686,0.0,0.06176033490076163,0.0,0.0,0.8553259794508129,0.0,0.0,0.0,1.0238795027382803,0.0,0.0,0.0,0.20913868963597754,1.929217655613275e-05,0.0,0.0,0.03015869203881847,0.0,0.0,0.0,0.0,0.0014539395081348526,15.0,0.0,0.0,0.0,1.4936041506944824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4747094729100203,2.411722226773127,0.11402695535771991,0.0,0.3031125012546431,0.6806437384926951,0.0,0.0,0.8377527432912697,0.0,0.0,0.569260426303272,0.0,0.0,9.728631236693503e-05,0.0412569755038016,0.0,0.0,0.0,0.16980237499977513,0.8613499936710872,0.00022253392602977523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kctd12,0.0,0.0782478728186694,0.0,0.003493045449928846,0.0,0.04341121248581192,0.0,0.0,2.250835893194258,0.0,0.0,0.0,3.1399275334606944,0.0,0.0,0.0,1.0121300083205322,1.5434691326960317,0.0,0.0,0.8808955250050678,0.0,0.0,0.0,0.0,0.3957520660519575,0.0,15.0,0.0,0.0,2.5513985307856677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9185562629587825,0.8455104566115694,1.4241344948643768,0.0,0.36119963771445956,0.7074686510803202,0.0,0.0,2.3735383870725797,0.0,0.0,0.19447120524891928,0.0,0.0,0.0030871187629528166,0.6566575417495792,0.0,0.0,0.0,1.594458878472506,1.3714952830759686,2.1800663040700288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit,0.0,0.2840226845150376,0.0,0.8452760628107572,0.0,0.008038751701310548,0.0,0.0,3.0342231055185485,0.0,0.0,0.0,2.2549765874646313,0.0,0.0,0.0,0.8483773855392296,0.44346963943498197,0.0,0.0,0.7348487579465208,0.0,0.0,0.0,0.0,0.293886264160908,0.0,0.0,15.0,0.0,2.69641330413099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885432584530818,2.398897448904361,0.24013080856365768,0.0,0.31758755992710047,1.2613643793167626,0.0,0.0,1.0107385940920575,0.0,0.0,2.5137116993302016,0.0,0.0,0.2099446705600455,3.3671241361246715,0.0,0.0,0.0,11.58385058131795,0.0015397140180975393,1.7476402768874135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamp5,0.0,0.000976844724910945,0.0,4.972985058200414,0.0,7.285675009375345e-05,0.0,0.0,0.7757094629005988,0.0,0.0,0.0,0.1243657608428215,0.0,0.0,0.0,0.010045318764995906,0.5239025375274313,0.0,0.0,0.07813191303481701,0.0,0.0,0.0,0.0,0.06609114837507497,0.0,0.0,0.0,15.0,0.7191556300179357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48728545258030315,0.016995763183009494,0.08537711181423271,0.0,0.10382985474475061,0.49731952237432825,0.0,0.0,0.8569252094380304,0.0,0.0,0.00011853097175605825,0.0,0.0,0.0008998767068299996,0.17354397911100466,0.0,0.0,0.0,0.23477760477302573,0.4274097877093478,3.3320006406855387e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lhx6,0.0,1.7051255460868586,0.0,0.031987191901728176,0.0,1.626701645612941,0.0,0.0,13.127349334378257,0.0,0.0,0.0,7.5360288431929545,0.0,0.0,0.0,6.956091335324586,3.7722298885141643,0.0,0.0,5.358939346919844,0.0,0.0,0.0,0.0,0.43565035671227603,0.0,0.0,0.0,0.0,19.816750002239292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2604874312692433,1.4103832335334883,5.600057747227867,0.0,1.4085287573584626,4.470309817544566,0.0,0.0,6.851737108305015,0.0,0.0,7.128550714201757,0.0,0.0,0.48197849969025014,7.8213835918769306,0.0,0.0,0.0,8.34672869082034,1.3671443159852645,6.884378375867993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ndnf,0.0,0.005277544674212047,0.0,4.475483695283251e-05,0.0,1.0883286597210794e-08,0.0,0.0,9.298908938790763e-06,0.0,0.0,0.0,0.3364521305733483,0.0,0.0,0.0,0.041461472562389946,0.028186578640116283,0.0,0.0,0.000613620823865005,0.0,0.0,0.0,0.0,0.15724374402239025,0.0,0.0,0.0,0.0,1.3810709681135735,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18283379604563976,0.01971857831483031,0.016488685936459236,0.0,0.11348017988879272,0.002194146543417123,0.0,0.0,8.103011725321897e-06,0.0,0.0,0.3898709358361321,0.0,0.0,0.5786466263765527,0.3615236876636685,0.0,0.0,0.0,0.38015203819768745,4.924763430494558e-10,0.3881593606952398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurod6,0.0,0.20176188092937108,0.0,1.4928711559357374e-07,0.0,0.40654278921406944,0.0,0.0,0.3954113940554402,0.0,0.0,0.0,0.003704876096880242,0.0,0.0,0.0,0.01593235288332179,0.31379339246234567,0.0,0.0,0.2890315194787141,0.0,0.0,0.0,0.0,0.056716793937392054,0.0,0.0,0.0,0.0,0.4121071452542255,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003880043000842333,0.8186418816765691,0.16599915888707198,0.0,0.035954635044970915,0.0018416866186646273,0.0,0.0,3.849289091640256e-05,0.0,0.0,0.0014236925332427697,0.0,0.0,0.08077613185300814,0.01937468715306622,0.0,0.0,0.0,0.20295094968546398,8.25657793759724e-06,7.75871660769363e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nos1,0.0,2.257749192114452,0.0,0.7867689421200268,0.0,0.25399581484178285,0.0,0.0,8.310180063501996e-06,0.0,0.0,0.0,5.994438340393484e-05,0.0,0.0,0.0,0.0004608039525742718,0.5495170944831418,0.0,0.0,0.047042671179931966,0.0,0.0,0.0,0.0,0.06726659524636408,0.0,0.0,0.0,0.0,0.009240223097276883,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09346419782663529,0.19192539123617913,0.02333250421249817,0.0,0.0656204843769478,0.0018020433225469402,0.0,0.0,2.927377539733872e-06,0.0,0.0,0.001508661329028412,0.0,0.0,0.14829518961960741,0.14537158139259634,0.0,0.0,0.0,0.0036435657250575367,5.374395038930505,0.015790543685443716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
