Class,Size
Plp1_class,881
Zero,334
Gad1_class,67
Id2_class,61
Cadps2_class,52
Snca_class,51
Penk_class,36
Cplx2_class,33
Reln_class,30
Pnoc_class,28
Rgs4_class,28
Pcp4_class,27
Satb1_class,24
Cryab_class,15
Cxcl14_class,15
Pde1a_class,12
Cdh13_class,10
Cnr1_class,10
Lhx6_class,10
Sst_class,10
Calb2_class,9
Pvalb_class,8
Sncg_class,7
